CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
8,Nou Barris,2017,Vehicles motor disciplina viària,Vilapicina i la Torre Llobeta,1126026,41.430549,Mobilitat,4586891,430209,2.164707,2,EMAIL,190,Vehicles a motor,1,1,Carrer,2016,12,MÒBIL,Cartellà,44,53,QUEIXA,2
8,Nou Barris,2017,Motos nou aparcament en calçada,Porta,1125851,41.431274,Mobilitat,4586960,431327,2.178076,2,EMAIL,67,Vehicles a motor,23,1,Carrer,2016,12,WEB,Emili Roca,45,54,SUGGERIMENT,2
8,Nou Barris,2017,Bancs incidències,Torre Baró,1125853,41.459277,Manteniment de l'espai urbà,4590067,431546,2.180344,3,EMAIL,8,Bancs,108,1,Avinguda,2016,12,MÒBIL,Escolapi Càncer,54,55,INCIDENCIA,2
3,Sants-Montjuïc,2017,Enllumenat petició més llum,la Bordeta,1125854,41.365226,Manteniment de l'espai urbà,4579663,427642,2.13485,4,EMAIL,15,Enllumenat públic,64,1,Rambla,2016,12,WEB,Badal,16,56,SUGGERIMENT,2
8,Nou Barris,2017,Bancs incidències,Canyelles,1126010,41.440859,Manteniment de l'espai urbà,4588036,430125,2.163562,4,SMS,5,Bancs,60,1,Via,2016,12,MÒBIL,Favència,49,57,INCIDENCIA,2
8,Nou Barris,2017,Vorera incidències,la Guineueta,1126012,41.437635,Manteniment de l'espai urbà,4587674,430571,2.16895,5,EMAIL,3,Voreres,54,1,Plaça,2016,12,MÒBIL,Ca n'Ensenya,48,58,INCIDENCIA,2
,,2017,Atenció Serveis Socials a persones sense sostre,,1126029,,Serveis socials,,,,5,EMAIL,,Problemàtiques socials a l'espai públic,,1,,2016,12,TELÈFON,,,59,SUGGERIMENT,2
8,Nou Barris,2017,Molèsties gossos a la via pública i/o parcs,la Trinitat Nova,1126027,,Prevenció i seguretat,,,,6,EMAIL,,Incompliment d'ordenances a l'espai públic,105,1,,2016,12,TELÈFON,,53,60,QUEIXA,2
8,Nou Barris,2017,Zona gossos nova / canvi de lloc,la Prosperitat,1126018,41.443989,Manteniment de l'espai urbà,4588366,432007,2.186049,6,EMAIL,529,Zona gossos,96,1,Avinguda,2016,12,WEB,Meridiana,52,61,SUGGERIMENT,2
8,Nou Barris,2017,Zona gossos nova / canvi de lloc,la Prosperitat,1126016,41.446052,Manteniment de l'espai urbà,4588595,432030,2.186304,6,EMAIL,575,Zona gossos,97,1,Avinguda,2016,12,WEB,Meridiana,52,62,SUGGERIMENT,2
8,Nou Barris,2017,Parcs jardins i zones verdes nova/canvi de lloc,la Prosperitat,1126015,41.446052,Manteniment de l'espai urbà,4588595,432030,2.186304,6,EMAIL,573,Parcs jardins i zones verdes,97,1,Avinguda,2016,12,WEB,Meridiana,52,63,SUGGERIMENT,2
,,2017,Accessibilitat / manteniment oficina,,1125739,,"Informació, tràmits i atenció al ciutadà",,,,6,EMAIL,,Oficines atenció al ciutadà de districte (OACS),,1,,2016,12,WEB,,,64,QUEIXA,2
,,2017,Permisos i concessions,,1125887,,Medi ambient,,,,6,EMAIL,,Espais verds,,1,,2016,12,WEB,,,65,CONSULTA,2
8,Nou Barris,2017,Càrrega / descàrrega,Canyelles,1126023,,Prevenció i seguretat,,,,7,EMAIL,,Molèsties soroll a la via pública,60,1,,2016,12,WEB,,49,66,QUEIXA,2
8,Nou Barris,2017,Càrrega / descàrrega,Canyelles,1126024,,Prevenció i seguretat,,,,7,EMAIL,,Molèsties soroll a la via pública,60,1,,2016,12,WEB,,49,67,QUEIXA,2
6,Gràcia,2017,Alimentadors animals a la via pública,la Salut,1125813,,Prevenció i seguretat,,,,18,EMAIL,,Incompliment d'ordenances a l'espai públic,24,1,,2016,12,WEB,,30,83,QUEIXA,2
6,Gràcia,2017,Neteja papereres plenes,el Coll,1126046,41.417114,Recollida i neteja de l'espai urbà,4585415,428550,2.145022,12,NO VOL RESPOSTA,0,Papereres,15,1,Passatge,2016,12,TELÈFON,Manlleu,29,69,INCIDENCIA,2
7,Horta-Guinardó,2017,Vorera incidències,el Carmel,1126039,41.420822,Manteniment de l'espai urbà,4585823,428959,2.149864,13,EMAIL,164,Voreres,62,1,Passeig,2016,12,MÒBIL,Mare de Déu del Coll,37,70,INCIDENCIA,2
,,2017,Metro incidències servei,,1125698,,Transports públics,,,,13,EMAIL,,Metro,,1,,2016,12,TELÈFON,,,71,INCIDENCIA,2
,,2017,Atenció Serveis Socials a persones sense sostre,,1125976,,Serveis socials,,,,13,NO VOL RESPOSTA,,Problemàtiques socials a l'espai públic,,1,,2016,12,TELÈFON,,,72,SUGGERIMENT,2
6,Gràcia,2017,"Orins, excrements animals",la Vila de Gràcia,1126054,41.401722,Recollida i neteja de l'espai urbà,4583695,429637,2.158233,14,EMAIL,173,Neteja carrers i/o places,54,1,Travessera,2016,12,TELÈFON,Gràcia,31,73,INCIDENCIA,2
6,Gràcia,2017,Repartidors,la Vila de Gràcia,1125809,,Prevenció i seguretat,,,,15,EMAIL,,Molèsties soroll a la via pública,49,1,,2016,12,WEB,,31,74,QUEIXA,2
6,Gràcia,2017,Repartidors,la Vila de Gràcia,1125808,,Prevenció i seguretat,,,,15,EMAIL,,Molèsties soroll a la via pública,49,1,,2016,12,WEB,,31,75,QUEIXA,2
,,2017,Metro incidències servei,,1125700,,Transports públics,,,,15,SMS,,Metro,,1,,2016,12,MÒBIL,,,76,INCIDENCIA,2
10,Sant Martí,2017,Recollida pneumàtica incidències,el Poblenou,1125962,41.403833,Recollida i neteja de l'espai urbà,4583897,433059,2.199138,16,SMS,6,Recollida pneumàtica,66,1,Carrer,2016,12,MÒBIL,Marià Aguiló,68,77,INCIDENCIA,2
6,Gràcia,2017,Molèsties gossos a la via pública i/o parcs,el Coll,1125812,,Prevenció i seguretat,,,,16,EMAIL,,Incompliment d'ordenances a l'espai públic,17,1,,2016,12,WEB,,29,78,QUEIXA,2
,,2017,Tracte rebut,,1125954,,Prevenció i seguretat,,,,16,CARTA,,Actuació guàrdia urbana,,1,,2016,12,TELÈFON,,,79,QUEIXA,2
,,2017,Sol.licitud servei,,1125713,,Prevenció i seguretat,,,,17,IMMEDIATA,,Actuació guàrdia urbana,,1,,2016,12,WEB,,,80,SUGGERIMENT,2
7,Horta-Guinardó,2017,Festes i activitats esportives,el Guinardó,1125892,,Prevenció i seguretat,,,,17,EMAIL,,Molèsties soroll a la via pública,42,1,,2016,12,WEB,,35,81,QUEIXA,2
6,Gràcia,2017,Concentració persones fent soroll,la Vila de Gràcia,1125814,,Prevenció i seguretat,,,,18,EMAIL,,Molèsties soroll a la via pública,29,1,,2016,12,WEB,,31,82,QUEIXA,2
7,Horta-Guinardó,2017,Festes i activitats esportives,el Guinardó,1125889,,Prevenció i seguretat,,,,18,EMAIL,,Molèsties soroll a la via pública,42,1,,2016,12,WEB,,35,85,QUEIXA,2
7,Horta-Guinardó,2017,Festes i activitats esportives,el Guinardó,1125883,,Prevenció i seguretat,,,,18,EMAIL,,Molèsties soroll a la via pública,42,1,,2016,12,WEB,,35,86,QUEIXA,2
,,2017,Sol·licitud targeta vehicle elèctric,,1125928,,Gestions municipals,,,,19,EMAIL,,Mobilitat,,1,,2016,12,WEB,,,87,PETICIO DE SERVEI,2
6,Gràcia,2017,Repartidors,la Vila de Gràcia,1125815,,Prevenció i seguretat,,,,19,EMAIL,,Molèsties soroll a la via pública,51,1,,2016,12,WEB,,31,88,QUEIXA,2
,,2017,Sol·licitud targeta vehicle elèctric,,1125858,,Gestions municipals,,,,19,EMAIL,,Mobilitat,,1,,2016,12,WEB,,,89,PETICIO DE SERVEI,2
,,2017,Informació Zoo,,1125961,,Oci / lleure,,,,19,EMAIL,,Zoo,,1,,2016,12,FULLS QUEIXES I SUGGERIMENTS,,,90,INCIDENCIA,2
7,Horta-Guinardó,2017,Bandes rugoses incidències,Montbau,1125960,41.432214,Mobilitat,4587093,428398,2.143006,19,SMS,9,Ordenació viària,95,1,Carrer,2016,12,TELÈFON,Poesia,40,91,INCIDENCIA,2
7,Horta-Guinardó,2017,"Orins, excrements humans",el Guinardó,1125870,41.418999,Recollida i neteja de l'espai urbà,4585597,431371,2.17876,19,EMAIL,20,Neteja carrers i/o places,42,1,Carrer,2016,12,WEB,Teodor Llorente,35,92,INCIDENCIA,2
7,Horta-Guinardó,2017,Vorera incidències,el Guinardó,1126040,41.422583,Manteniment de l'espai urbà,4585996,431293,2.177781,19,EMAIL,19,Voreres,44,1,Carrer,2016,12,MÒBIL,Segle XX,35,93,INCIDENCIA,2
6,Gràcia,2017,Insectes / artròpodes en espais públics,la Vila de Gràcia,1125957,41.405383,Sanitat i salut pública,4584108,429009,2.150667,19,EMAIL,239,Servei de vigilància i control de plagues,40,1,Carrer,2016,12,INSTÀNCIA,Gran de Gràcia,31,94,INCIDENCIA,2
,,2017,Rec. roba domiciliària,,1125925,,Gestions municipals,,,,19,EMAIL,,Recollida i neteja de l'espai urbà,,1,,2016,12,TELÈFON,,,95,PETICIO DE SERVEI,2
7,Horta-Guinardó,2017,Vorera incidències,el Guinardó,1126033,41.414692,Manteniment de l'espai urbà,4585121,431190,2.17664,20,EMAIL,74,Voreres,39,1,Carrer,2016,12,MÒBIL,Sant Quintí,35,96,INCIDENCIA,2
7,Horta-Guinardó,2017,Vorera incidències,la Font d'en Fargues,1126038,41.426965,Manteniment de l'espai urbà,4586493,430220,2.164876,20,EMAIL,10,Voreres,55,1,Avinguda,2016,12,MÒBIL,Frederic Rahola,36,97,INCIDENCIA,2
7,Horta-Guinardó,2017,Vorera incidències,el Guinardó,1126037,41.417051,Manteniment de l'espai urbà,4585385,430969,2.173975,20,EMAIL,34,Voreres,38,1,Carrer,2016,12,MÒBIL,Telègraf,35,98,INCIDENCIA,2
,,2017,Disconformitat servei autobusos TMB,,1125699,,Transports públics,,,,20,EMAIL,,Autobusos TMB,,1,,2016,12,WEB,,,99,QUEIXA,2
,,2017,Devolució sol·licitada i no efectuada,,1126001,,Hisenda,,,,20,CARTA,,Devolucions,,1,,2016,12,TELÈFON,,,100,QUEIXA,2
